cod,name,provincias,population,var_mayores_64_años_(2018),var_extranjeros_(2018),var_hombres_(2018),var_mujeres_(2018),var_edad_media_(2018),var_suelo_urbano,var_analfabetos_+_sin_estudios_(2011),var_estudios_primer_grado_(2011),var_estudios_segundo_grado_(2011),var_tasa_paro_calculada_(2019),var_renta_media_total_(2016),party_PP,party_PSOE,party_Ciudadanos,party_Podemos,party_Vox,var_Abstención_(29A)
04003,Adra,Almería,24859,13.89,12.89,50.84,49.16,39.07,2.91,16.33,21.15,37.76,12.81,14730,24.65,26.93,13.1,7.15,24.6,30.59
04006,Albox,Almería,11696,19.99,26.54,51.50,48.50,42.14,1.03,13.05,13.60,44.92,10.16,15683,29.37,29.6,21.13,6.09,11.82,30.7
04013,Almería,Almería,196851,15.87,9.97,48.74,51.26,40.27,4.98,9.27,12.10,41.23,14.39,19625,21.83,29.26,18.72,11.16,16.32,29.18
04029,Berja,Almería,12381,14.79,11.89,50.62,49.38,39.64,1.14,16.30,18.15,39.52,14.76,14457,23.07,38.33,12.55,6.9,17.39,30.29
04035,Cuevas del Almanzora,Almería,13776,15.35,23.30,52.03,47.97,39.03,1.73,14.04,16.48,42.62,11.21,14720,21.56,39.93,15.17,6.58,15.2,25.93
04052,Huércal de Almería,Almería,17418,6.26,2.65,50.92,49.08,34.41,14.15,4.69,10.28,48.87,12.19,18014,15.27,27.94,20.23,12.07,21.66,26.77
04053,Huércal-Overa,Almería,18816,17.59,17.85,49.74,50.26,40.70,1.49,13.09,9.95,45.08,9.06,16346,28.0,29.76,20.89,5.51,14.21,24.5
04066,Níjar,Almería,30122,9.51,43.83,55.17,44.83,35.42,0.89,14.14,18.11,42.68,9.50,12541,23.3,27.86,12.26,6.36,28.44,30.87
04079,Roquetas de Mar,Almería,94925,8.86,26.83,51.66,48.34,36.08,18.45,7.85,12.64,43.59,12.44,17704,20.49,23.87,19.45,10.26,23.44,28.98
04100,Vera,Almería,15837,12.48,24.23,50.84,49.16,37.51,14.08,8.26,11.91,41.50,13.09,17746,24.22,27.12,19.84,8.7,17.69,34.75
04102,Vícar,Almería,25405,8.63,28.94,53.32,46.68,35.40,5.00,14.44,14.61,45.84,10.99,13815,21.55,28.25,14.79,6.68,26.4,30.06
04902,El Ejido,Almería,84710,9.25,30.94,52.49,47.51,35.93,6.15,14.29,15.41,41.32,9.31,15010,22.71,21.14,16.54,7.27,30.02,31.43
11004,Algeciras,Cádiz,121414,15.32,7.30,49.30,50.70,39.67,20.94,10.11,11.77,45.18,17.38,22650,14.89,28.74,20.1,12.34,19.65,32.94
11006,Arcos de la Frontera,Cádiz,30741,15.12,1.58,49.92,50.08,40.23,0.69,17.01,16.82,39.36,22.66,14748,15.17,39.03,20.28,10.47,11.94,32.08
11007,Barbate,Cádiz,22551,16.07,2.64,50.13,49.87,41.04,1.18,16.39,15.35,43.01,26.27,15311,15.13,30.99,18.87,14.46,10.23,37.04
11008,Los Barrios,Cádiz,23513,12.31,3.43,49.95,50.05,38.26,2.14,10.85,14.18,45.85,15.11,21616,12.22,32.68,21.39,13.66,15.71,30.31
11012,Cádiz,Cádiz,116979,23.13,1.69,47.34,52.66,45.43,40.76,9.72,11.96,45.51,17.35,22615,16.12,28.93,17.12,25.11,8.4,25.19
11014,Conil de la Frontera,Cádiz,22427,15.07,5.07,50.40,49.60,39.91,1.92,15.31,12.02,45.39,16.29,16961,14.17,28.59,23.31,19.89,8.89,30.95
11015,Chiclana de la Frontera,Cádiz,83831,12.96,3.73,50.06,49.94,38.74,9.58,9.45,14.41,44.05,19.15,18465,14.32,27.57,22.18,16.36,14.91,32.67
11016,Chipiona,Cádiz,19068,15.10,2.41,50.16,49.84,39.91,9.03,15.68,18.18,41.48,22.44,15002,15.53,29.42,21.98,13.53,15.36,32.31
11020,Jerez de la Frontera,Cádiz,212879,15.70,2.44,48.89,51.11,40.50,2.66,10.14,13.06,43.63,20.16,19415,15.64,30.29,21.07,15.24,13.82,29.19
11022,La Línea de la Concepción,Cádiz,62940,16.68,6.52,49.09,50.91,40.48,34.05,9.34,16.34,45.89,20.97,20399,14.29,32.01,21.25,12.6,15.15,42.25
11023,Medina-Sidonia,Cádiz,11658,15.34,1.48,50.90,49.10,40.39,0.16,17.56,15.24,40.74,20.29,15095,9.6,45.17,17.22,15.15,9.97,24.98
11027,El Puerto de Santa María,Cádiz,88364,15.07,3.28,49.03,50.97,40.12,10.33,7.52,11.67,44.51,17.63,21931,16.75,25.98,20.0,17.15,15.96,28.73
11028,Puerto Real,Cádiz,41650,13.46,2.52,50.23,49.77,40.00,3.86,9.13,11.65,47.54,17.56,20168,6.99,38.28,13.51,29.9,6.33,25.97
11030,Rota,Cádiz,28848,15.20,3.59,49.93,50.07,40.43,2.89,11.19,12.50,48.41,15.88,19932,16.62,25.98,23.56,15.27,14.88,29.97
11031,San Fernando,Cádiz,95174,15.80,1.11,48.97,51.03,40.87,23.77,7.31,11.64,46.58,17.62,20864,13.95,29.53,20.97,15.52,15.41,29.07
11032,Sanlúcar de Barrameda,Cádiz,68037,14.71,1.26,49.78,50.22,39.88,4.39,14.90,18.82,39.28,19.79,15903,12.84,32.74,21.53,16.43,12.57,39.15
11033,San Roque,Cádiz,30472,14.27,11.58,49.91,50.09,38.97,12.63,10.13,12.90,46.95,16.43,21129,15.4,33.22,20.21,12.88,14.12,32.76
11035,Tarifa,Cádiz,18169,15.82,8.77,50.37,49.63,41.28,0.70,14.07,17.76,41.48,16.16,17711,15.79,32.94,18.15,14.77,13.99,30.66
11038,Ubrique,Cádiz,16615,18.52,1.01,49.40,50.60,42.72,2.04,20.12,16.53,38.22,20.13,15247,20.78,31.84,22.9,8.49,12.54,20.08
11039,Vejer de la Frontera,Cádiz,12739,16.69,3.92,49.84,50.16,41.19,0.67,17.58,20.43,37.43,22.74,14266,27.94,36.31,15.12,10.18,6.62,31.38
11041,Villamartín,Cádiz,12127,14.93,1.14,50.12,49.88,40.17,0.71,18.99,19.15,35.54,19.60,14780,17.03,36.02,21.59,10.13,11.09,29.84
14002,Aguilar de la Frontera,Córdoba,13438,17.96,1.76,50.14,49.86,42.01,0.85,18.73,14.81,40.27,8.80,14054,13.2,47.38,13.67,16.5,5.89,24.35
14007,Baena,Córdoba,19338,16.38,4.55,51.03,48.97,40.69,0.81,18.19,11.66,41.12,10.39,14771,17.46,39.3,19.46,11.13,10.26,27.07
14013,Cabra,Córdoba,20417,20.01,2.77,48.79,51.21,43.51,0.97,16.67,13.23,42.49,10.56,16033,22.81,34.24,16.2,10.78,12.4,24.02
14017,La Carlota,Córdoba,14067,15.92,2.77,49.95,50.05,39.97,3.84,18.38,13.11,40.87,12.00,14483,13.32,47.14,15.41,10.29,11.08,22.22
14021,Córdoba,Córdoba,325708,18.33,2.49,48.02,51.98,42.16,2.37,9.91,9.71,44.39,16.52,20590,20.38,26.12,18.84,16.16,15.01,24.75
14030,Fuente Palmera,Córdoba,10817,16.40,2.68,50.15,49.85,40.35,2.22,24.09,15.26,37.94,9.33,12873,13.02,44.72,13.54,17.48,8.55,21.56
14038,Lucena,Córdoba,42530,14.75,3.88,49.88,50.12,39.30,1.44,14.63,14.01,41.52,14.65,15468,19.34,28.43,21.67,10.23,17.41,26.54
14042,Montilla,Córdoba,23031,19.68,2.34,49.60,50.40,43.21,1.63,16.05,13.13,42.44,12.98,15998,14.96,37.95,16.98,19.07,7.35,19.53
14049,Palma del Río,Córdoba,21159,16.97,5.60,49.81,50.19,41.13,1.32,17.83,12.21,41.51,10.19,15177,16.04,40.9,15.59,14.95,9.27,23.06
14052,Peñarroya-Pueblonuevo,Córdoba,10870,23.10,1.31,48.25,51.75,45.38,3.22,16.63,12.67,48.63,21.22,18419,18.48,38.86,16.06,10.76,13.25,33.93
14054,Pozoblanco,Córdoba,17222,17.85,3.61,48.67,51.33,42.35,0.64,14.23,10.33,42.72,13.62,17200,26.89,35.64,16.07,10.2,9.08,19.96
14055,Priego de Córdoba,Córdoba,22585,20.25,1.79,48.74,51.26,43.32,0.79,18.65,13.33,41.20,10.51,14148,19.74,32.85,20.8,9.39,14.57,24.55
14056,Puente Genil,Córdoba,30241,16.67,4.45,49.79,50.21,40.88,1.50,13.32,16.30,42.70,15.38,16236,15.09,41.29,17.59,11.84,11.46,27.42
18003,Albolote,Granada,18746,12.19,3.58,49.77,50.23,38.67,5.65,7.64,8.94,43.95,13.23,19726,15.6,30.42,19.6,15.19,16.25,22.6
18017,Almuñécar,Granada,26377,20.85,17.43,49.41,50.59,43.57,5.99,11.14,15.85,42.12,15.23,16326,20.47,29.18,20.96,11.13,15.4,29.95
18021,Armilla,Granada,23968,11.63,7.82,49.80,50.20,38.52,59.57,6.99,11.31,41.78,15.32,19273,14.21,29.85,21.21,15.28,16.08,25.92
18022,Atarfe,Granada,18554,11.33,3.85,49.88,50.12,36.92,7.80,8.19,10.13,50.36,15.70,17059,9.99,35.03,19.14,15.89,16.67,28.46
18023,Baza,Granada,20519,17.94,7.00,49.76,50.24,41.69,0.50,13.32,11.96,46.18,12.18,16428,16.23,32.89,21.88,9.52,16.11,25.16
18062,Churriana de la Vega,Granada,14851,10.02,5.21,49.88,50.12,36.38,29.65,5.50,8.67,52.56,15.24,17723,16.96,29.73,20.57,13.66,14.88,22.73
18087,Granada,Granada,232208,21.29,6.44,46.26,53.74,43.84,21.34,7.73,9.44,36.95,15.65,22856,23.54,26.64,18.4,14.26,14.62,22.58
18089,Guadix,Granada,18718,17.97,4.11,49.49,50.51,41.93,1.30,11.61,12.09,44.32,14.07,16843,20.97,35.6,15.52,10.19,15.85,26.24
